"blockgroup","taz2","taz2_share"
60014088002,300188,1
60014088003,300834,1
60014088004,301039,1
60014089001,300955,1
60014089002,300866,1
60014090001,300197,1
60014090002,0,0
60014090002,300796,1
60014090003,300562,1
60014090004,0,0
60014090004,300560,0
60014091001,300189,1
60014091002,300189,1
60014092001,300963,1
60014092002,300797,1
60014093001,300072,1
60014093002,300251,1
60014093003,300012,1
60014093004,300013,1
60014094001,300255,1
60014094002,300300,1
60014094003,300299,1
60014095001,300303,1
60014095002,300148,1
60014095003,300228,1
60014096001,300236,1
60014096002,300974,1
60014096003,300017,1
60014096004,300304,1
60014096005,300671,1
60014097001,300850,1
60014097002,300343,1
60014097003,300305,1
60014097004,300854,1
60014098001,300292,1
60014098002,300988,1
60014098003,300709,1
60014099001,300444,1
60014099002,300972,1
60014099003,300205,1
60014099004,300204,1
60014100001,0,0
60014100001,300945,1
60014100002,300065,1
60014100003,300475,1
60014101001,300387,1
60014101002,300918,1
60014102001,300075,1
60014102002,300139,1
60014102003,300433,1
60014103001,300345,1
60014103002,300074,1
60014103003,300071,1
60014104001,300138,1
60014104002,300860,1
60014104003,300073,1
60014105001,300149,0.178066037735849
60014105001,301093,0.204009433962264
60014105001,301094,0.617924528301887
60014201001,301045,1
60014201002,300911,1
60014201003,300614,1
60014202001,300665,1
60014202002,300613,1
60014202003,300630,1
60014203001,301042,1
60014203002,300041,1
60014203003,0,0
60014203003,301046,1
60014204001,0,0
60014204001,300437,1
60014205001,300631,1
60014205002,300050,1
60014206001,300632,1
60014206002,300611,0.791304347826087
60014206002,300632,0.208695652173913
60014206003,300243,1
60014211001,300651,1
60014211002,300650,1
60014212001,0,0
60014212001,300446,1
60014212002,300654,1
60014212003,300655,1
60014212004,300664,1
60014213001,301044,1
60014213002,300610,1
60014213003,300669,1
60014213004,300669,1
60014214001,300244,1
60014214002,300169,1
60014215001,300567,1
60014215002,300652,1
60014215003,0,0
60014215003,300653,1
60014216001,300530,1
60014216002,300698,1
60014216003,301043,1
60014216004,300531,1
60014217001,300003,1
60014217002,300720,1
60014217003,300695,1
60014218001,300847,0.63355408388521
60014218001,301062,0.36644591611479
60014218002,300696,0.681293302540416
60014218002,301061,0.318706697459584
60014219001,300749,1
60014219002,300702,0.521739130434783
60014219002,301063,0.478260869565217
60014219003,300616,1
60014219004,300615,1
60014220001,0,0
60014220001,300342,0.2
60014220001,301053,0.0482758620689655
60014220001,301064,0.303448275862069
60014220001,301065,0.445977011494253
60014220001,301066,0.00229885057471264
60014220002,300042,1
60014221001,300184,1
60014221002,301047,1
60014222001,300937,1
60014222002,300756,1
60014222003,300703,1
60014223001,300697,1
60014223002,300700,1
60014223003,300873,1
60014224001,300701,1
60014224002,300395,1
60014224003,300394,1
60014225001,300699,1
60014225002,300005,1
60014225003,300928,1
60014226001,300004,0.916666666666667
60014226001,301060,0.0833333333333333
60014227001,300717,1
60014227002,300007,1
60014227003,300006,1
60014228001,300572,1
60014228002,300878,1
60014228003,300927,0.68335146898803
60014228003,301072,0.31664853101197
60014229001,300043,0.493854748603352
60014229001,301070,0.164245810055866
60014229001,301071,0.341899441340782
60014229002,300008,0.765202702702703
60014229002,301069,0.234797297297297
60014230001,300846,1
60014230002,300721,1
60014230003,300053,1
60014231001,300712,1
60014231002,300713,1
60014231003,300714,1
60014231004,300054,1
60014232001,300340,1
60014232002,300719,1
60014233001,300718,1
60014233002,300607,1
60014233003,300607,1
60014234001,300002,1
60014234002,300052,1
60014234003,300058,1
60014234004,300055,0.644230769230769
60014234004,301078,0.355769230769231
60014235001,300938,0.689830508474576
60014235001,301073,0.310169491525424
60014235002,300774,0.495934959349593
60014235002,301074,0.504065040650406
60014235003,300773,0.361538461538462
60014235003,301075,0.105769230769231
60014235003,301076,0.275
60014235003,301077,0.257692307692308
60014236011,300333,1
60014236012,300532,1
60014236021,300476,1
60014236022,300334,1
60014236023,300108,1
60014237001,300351,1
60014237002,300877,1
60014237003,300535,1
60014238001,300750,1
60014238002,300122,1
60014238003,300570,1
60014239011,300057,0.534883720930233
60014239011,301080,0.465116279069767
60014239012,300765,0.774834437086093
60014239012,301081,0.225165562913907
60014239021,300121,1
60014239022,300119,1
60014240011,300609,0.697604790419162
60014240011,301079,0.302395209580838
60014240012,300769,1
60014240013,300949,1
60014240014,300612,0.882352941176471
60014240014,301082,0.117647058823529
60014240021,300940,1
60014240022,300056,1
60014251011,0,0
60014251011,300044,1
60014251012,300044,1
60014251021,300046,1
60014251022,300047,1
60014251023,300048,1
60014251031,300101,1
60014251032,300102,1
60014251033,300103,1
60014251041,300104,1
60014251042,300152,0.701405152224824
60014251042,301068,0.298594847775176
60014261001,300379,1
60014261002,300105,1
60014261003,300623,1
60014261004,300954,1
60014261005,300467,1
60014261006,300341,1
60014262001,300353,1
60014262002,301013,1
60014262003,301011,1
60014271001,0,0
60014271001,300471,1
60014271002,300129,1
60014271003,0,0
60014271003,300129,1
60014272001,300063,1
60014272002,300469,1
60014272003,300060,1
60014272004,300563,1
60014272005,0,0
60014272005,300336,0
60014273001,300523,1
60014273002,0,0
60014273002,300283,1
60014273003,300283,1
60014273004,300352,1
60014273005,300283,1
60014276001,300059,1
60014276002,300106,1
60014276003,300229,1
60014277001,300753,1
60014277002,300752,1
60014277003,0,0
60014277003,300483,1
60014277004,300525,1
60014278001,300566,1
60014278002,300019,1
60014278003,300565,1
60014278004,300472,1
60014278005,300015,1
60014279001,300067,1
60014279002,300517,1
60014279003,300518,1
60014279004,300976,1
60014279005,300977,1
60014280001,300804,1
60014280002,300519,1
60014281001,0,0
60014281001,300815,1
60014281002,300068,1
60014281003,300425,1
60014281004,300421,1
60014282001,300953,1
60014282002,0,0
60014282002,300423,1
60014282003,300062,1
60014282004,300062,1
60014282005,300062,1
60014283011,300107,1
60014283012,300107,1
60014283013,300107,1
60014283014,0,0
60014283014,300107,0.875581395348837
60014283014,301097,0.124418604651163
60014283021,0,0
60014283021,300391,1
60014283022,300393,1
60014283023,0,0
60014283023,300482,1
60014284001,0,0
60014284001,300520,1
60014284002,300522,1
60014284003,300320,1
60014285001,0,0
60014285001,300564,1
60014285002,0,0
60014285002,300153,1
60014286001,300975,1
60014286002,0,0
60014286002,300521,1
60014286003,0,0
60014286003,300154,1
60014287001,0,0
60014287001,300468,1
60014287002,0,0
60014287002,300206,1
60014301011,300207,1
60014301012,300208,1
60014301013,300209,1
60014301021,0,0
60014301021,300210,1
60014302001,300262,1
60014302002,300261,1
60014302003,300780,1
60014302004,300826,1
60014302005,300263,1
60014303001,0,0
60014303001,300033,0.724381625441696
60014303001,301055,0.275618374558304
60014303002,300259,1
60014303003,300274,1
60014304001,300031,1
60014304002,0,0
60014304002,300432,1
60014305001,300892,1
60014305002,300891,1
60014305003,300875,1
60014306001,300837,1
60014306002,300864,1
60014306003,300859,1
60014306004,300258,1
60014307001,300264,1
60014307002,300314,1
60014307003,300863,1
60014308001,300902,1
60014308002,300901,1
60014308003,300310,1
60014308004,300308,1
60014309001,300897,1
60014309002,300032,0.40117994100295
60014309002,301102,0.59882005899705
60014310001,300311,1
60014310002,300865,1
60014311001,300293,0.478181818181818
60014311001,301104,0.134545454545455
60014311001,301105,0.387272727272727
60014311002,300211,1
60014312001,300182,0.399717514124294
60014312001,301103,0.600282485875706
60014312002,300350,1
60014312003,300183,1
60014321001,300659,1
60014321002,300349,1
60014321003,300917,1
60014322001,300916,1
60014322002,300076,1
60014322003,300980,1
60014323001,300077,1
60014323002,300079,1
60014323003,300201,1
60014324001,300932,1
60014324002,300931,1
60014324003,0,0
60014324003,300930,1
60014325011,300275,0.519480519480519
60014325011,301098,0.480519480519481
60014325012,300276,1
60014325013,300277,1
60014325021,300212,1
60014325022,300212,1
60014325023,300279,1
60014326001,300541,1
60014326002,300142,1
60014326003,300542,1
60014326004,300078,1
60014326005,300540,1
60014327001,300141,1
60014327002,300947,1
60014327003,300946,1
60014328001,300944,1
60014328002,300144,1
60014328003,300431,1
60014330001,300838,1
60014330002,300950,1
60014330003,300948,1
60014330004,300952,1
60014331021,300934,1
60014331021,301100,0
60014331022,300951,0.912350597609562
60014331022,301099,0.0876494023904383
60014331031,300280,1
60014331032,300213,1
60014331041,300151,1
60014331042,300214,1
60014331043,300215,1
60014332001,300081,1
60014332002,300281,1
60014332003,300323,1
60014332004,300198,1
60014333001,300981,1
60014333002,300216,1
60014333003,300321,1
60014333004,300145,1
60014333005,300658,1
60014334001,300348,1
60014334002,300137,1
60014334003,0,0
60014334003,300763,1
60014334004,300140,1
60014334005,300324,1
60014334006,300370,1
60014335001,300979,1
60014335002,300286,1
60014335003,300935,1
60014335004,300914,1
60014336001,300968,1
60014336002,300966,1
60014336003,300199,1
60014336004,300966,0.547540983606557
60014336004,300978,0.452459016393443
60014337001,300890,1
60014337002,300822,1
60014337003,300882,1
60014338001,301009,1
60014338002,300998,1
60014338003,300913,1
60014338004,300903,1
60014339001,300064,1
60014339002,300915,1
60014339003,300346,1
60014339004,300347,1
60014340001,300202,1
60014340002,300130,1
60014340003,300848,1
60014351021,300925,1
60014351022,300527,1
60014351031,300217,1
60014351032,300218,1
60014351033,300219,1
60014351041,300220,1
60014351042,300325,1
60014351043,300326,1
60014352001,0,0
60014352001,300422,1
60014352002,300266,1
60014353001,300309,1
60014353002,300908,1
60014353003,300267,1
60014354001,300983,1
60014354002,300990,1
60014354003,300495,1
60014355001,300861,1
60014355002,300991,1
60014355003,300923,1
60014356011,300327,1
60014356012,300371,1
60014356021,300268,1
60014356022,300372,1
60014356023,300328,1
60014356024,300329,1
60014357001,301012,1
60014357002,300628,1
60014357003,300964,1
60014357004,300879,0.981029810298103
60014357004,301101,0.018970189701897
60014358001,300811,1
60014358002,300447,1
60014358003,300451,1
60014358004,300450,1
60014359001,300230,0.247148288973384
60014359001,300233,0.752851711026616
60014359002,300080,1
60014359003,0,0
60014359003,300872,1
60014359004,300933,1
60014360001,300200,1
60014360002,300831,1
60014360003,300577,1
60014361001,300448,1
60014361002,300982,1
60014361003,300832,1
60014362001,300470,1
60014362002,300390,1
60014363001,300667,1
60014363002,300666,1
60014363003,300919,1
60014363004,300668,1
60014364011,300809,1
60014364012,300889,1
60014364013,300203,1
60014364014,300924,1
60014364015,300265,1
60014364021,300579,1
60014364022,300942,1
60014365001,300922,1
60014365002,300544,1
60014366011,300909,1
60014366012,300881,1
60014366013,300907,1
60014366021,300884,1
60014366022,300571,1
60014367001,300494,1
60014367002,300536,1
60014368001,300109,1
60014368002,300307,1
60014369001,300876,1
60014369002,300926,1
60014369003,300449,1
60014369004,300453,1
60014370001,300929,1
60014370002,300110,1
60014370003,300936,1
60014371011,0,0
60014371011,300269,1
60014371012,300330,1
60014371013,300367,0.457013574660633
60014371013,301114,0.542986425339366
60014371021,300270,1
60014371022,300271,1
60014371023,300368,1
60014372001,300849,1
60014372002,300533,1
60014372003,300496,1
60014372004,300272,1
60014373001,300502,1
60014373002,300502,1
60014373003,300501,1
60014374001,300538,1
60014374002,300539,1
60014375001,300629,1
60014375002,300273,1
60014376001,300543,1
60014376002,300543,1
60014377011,300315,1
60014377012,300369,1
60014377013,300316,1
60014377021,300317,1
60014377022,300459,1
60014378001,300705,1
60014378002,300584,1
60014379001,300635,1
60014379002,300545,1
60014380001,300389,1
60014380002,300637,1
60014381001,300886,1
60014381002,300920,1
60014381003,300898,1
60014381004,300828,1
60014381005,300996,1
60014381006,300827,1
60014382011,300382,1
60014382012,300382,1
60014382013,300382,1
60014382031,300510,1
60014382032,300318,1
60014382041,300415,1
60014382042,300512,1
60014382043,300319,1
60014383001,300499,1
60014383002,300870,1
60014383003,300883,1
60014384001,300335,1
60014384002,300420,1
60014401001,300178,0.998857142857143
60014401001,300416,0.00114285714285714
60014402001,300528,1
60014402002,300896,1
60014402003,300904,1
60014402004,300589,1
60014403011,300675,1
60014403012,300674,1
60014403013,301028,1
60014403014,300373,1
60014403041,300498,1
60014403042,300586,1
60014403043,300992,1
60014403051,300070,1
60014403052,301029,1
60014403053,300020,1
60014403061,300880,1
60014403062,300590,1
60014403071,300672,1
60014403072,300497,1
60014403073,300497,1
60014403081,300587,1
60014403082,300895,1
60014403083,300460,1
60014403084,300322,1
60014403311,300755,1
60014403312,300493,1
60014403321,300001,1
60014403322,300361,1
60014403331,300362,1
60014403331,301115,0
60014403332,300411,1
60014403341,300363,1
60014403342,300364,1
60014403351,300365,1
60014403352,300366,1
60014403361,300514,0.770422535211268
60014403361,301117,0.229577464788732
60014403362,300515,0.580924855491329
60014403362,301116,0.419075144508671
60014411001,300633,1
60014411002,300438,1
60014412001,0,0
60014412001,300726,1
60014412002,300994,1
60014412003,300388,1
60014413011,300297,1
60014413012,300297,1
60014413021,300764,1
60014413022,300985,1
60014413023,300722,1
60014413024,300503,1
60014414011,300143,1
60014414012,300135,1
60014414013,300912,1
60014414014,300504,1
60014414021,300581,1
60014414022,300426,1
60014414023,300427,1
60014415011,300893,1
60014415012,300404,0.887179487179487
60014415012,301119,0.112820512820513
60014415031,0,0
60014415031,300180,0.470332850940666
60014415031,301049,0.3589001447178
60014415031,301126,0
60014415031,301127,0.000723589001447178
60014415031,301128,0.00144717800289436
60014415031,301129,0.168596237337192
60014415032,300829,1
60014415211,300840,1
60014415212,301020,1
60014415213,300885,1
60014415214,300553,1
60014415221,300588,1
60014415222,300894,1
60014415223,300405,1
60014415231,300406,1
60014415232,300407,1
60014415233,300408,1
60014415241,300409,1
60014415242,300412,1
60014415242,301118,0
60014416011,300997,1
60014416012,301021,1
60014416013,300554,1
60014416021,300984,1
60014416022,300986,1
60014416023,300987,1
60014416024,300723,1
60014417001,300338,1
60014417002,300337,0.940880503144654
60014417002,301125,0.0591194968553459
60014417003,300776,1
60014417004,300242,0.454545454545455
60014417004,301124,0.545454545454546
60014418001,301026,1
60014418002,300306,1
60014418003,300410,1
60014418004,300454,1
60014419211,300384,1
60014419212,300313,1
60014419231,300555,1
60014419232,300724,1
60014419233,300186,1
60014419241,300455,1
60014419242,300456,1
60014419243,300457,1
60014419244,300458,1
60014419251,300507,1
60014419252,300508,1
60014419252,301120,0
60014419261,300556,1
60014419262,300557,1
60014419271,300546,1
60014419272,300547,1
60014420001,300439,1
60014420002,300548,1
60014421001,300833,1
60014421002,300549,1
60014422001,300558,1
60014422002,300779,1
60014422003,300844,1
60014422004,300559,0.994623655913978
60014422004,301131,0.00537634408602151
60014423011,300599,1
60014423012,300550,1
60014423013,300600,1
60014423021,300551,1
60014423022,300552,1
60014423023,300591,0.8125
60014423023,301130,0.1875
60014424001,300842,1
60014424002,300843,1
60014424003,300663,1
60014424004,301025,1
60014425001,300290,1
60014425002,300291,1
60014425003,300775,1
60014425004,300778,1
60014426011,300601,1
60014426012,300602,1
60014426021,300592,1
60014426022,300413,1
60014427001,300673,1
60014427002,300676,1
60014427003,300830,1
60014428001,300725,1
60014429001,300777,1
60014429002,300962,1
60014429003,300248,1
60014429004,300593,1
60014430011,300296,1
60014430021,300295,1
60014430022,300029,1
60014430023,300245,1
60014431021,300396,1
60014431022,300187,1
60014431023,300383,1
60014431024,301022,1
60014431031,300634,1
60014431032,300594,1
60014431041,300603,1
60014431042,300595,1
60014431043,300596,0.990135635018496
60014431043,301132,0.00986436498150432
60014431051,300604,1
60014431052,300414,1
60014432001,300385,1
60014432002,300597,1
60014433011,300397,1
60014433012,300397,1
60014433211,300598,1
60014433212,300605,1
60014433221,300639,1
60014433222,300479,1
60014441001,300398,1
60014441002,0,0
60014441002,300398,1
60014441003,300921,1
60014441004,300606,1
60014442001,300298,1
60014442002,300257,1
60014442003,300386,1
60014443011,300640,1
60014443012,300641,1
60014443021,300642,1
60014443022,300678,0
60014443022,301057,0.859618717504333
60014443022,301122,0
60014443022,301123,0.140381282495667
60014444001,300727,1
60014444002,300728,1
60014444003,300729,1
60014445001,300488,1
60014445002,300185,1
60014445003,300179,1
60014445004,300644,1
60014446011,300645,1
60014446012,300646,1
60014446021,300643,1
60014446022,300692,1
60014501011,300417,1
60014501021,300509,0.216417910447761
60014501021,301109,0.783582089552239
60014501021,301110,0
60014501021,301111,0
60014501022,300679,0
60014501023,300680,1
60014502001,300862,1
60014502002,300681,1
60014502003,300682,1
60014503001,300356,0.413897280966767
60014503001,301112,0.586102719033233
60014503002,300810,1
60014504001,300824,1
60014504002,300392,1
60014504003,301027,1
60014505011,300683,1
60014505012,300730,0.784646061814556
60014505012,301113,0.215353938185444
60014505021,0,0
60014505021,300731,1
60014505022,300732,1
60014506011,300906,1
60014506012,300181,1
60014506021,300260,1
60014506022,300537,1
60014506023,300647,1
60014506024,300647,1
60014506025,300733,1
60014506031,300359,1
60014506032,300035,1
60014506033,300357,1
60014506034,300807,1
60014506041,300580,1
60014506042,300399,1
60014506043,300360,1
60014506044,300648,1
60014506051,300808,1
60014506052,300358,1
60014506053,300638,1
60014506061,300434,1
60014506062,300030,1
60014506063,300435,1
60014506071,300649,1
60014506072,300487,1
60014507011,300684,1
60014507012,300677,1
60014507013,0,0
60014507013,300478,0.985374771480804
60014507013,301121,0.0146252285191956
60014507014,0,0
60014507014,300734,1
60014507411,300302,1
60014507412,301010,1
60014507413,300424,1
60014507421,300034,1
60014507422,300516,1
60014507423,0,0
60014507423,300900,1
60014507431,300735,1
60014507432,300461,1
60014507441,300736,1
60014507442,300737,1
60014507451,300781,1
60014507452,300462,1
60014507461,300685,1
60014507462,300686,1
60014507501,300782,1
60014507511,300783,1
60014507521,0,0
60014507521,300784,0.82051282051282
60014507521,301108,0.179487179487179
60014511011,0,0
60014511011,300430,1
60014511012,300905,1
60014511013,0,0
60014511013,300687,1
60014511014,300785,1
60014511015,300463,1
60014511021,300823,1
60014511022,300436,1
60014512011,300132,1
60014512012,300583,1
60014512013,300429,1
60014512021,300428,0.317262830482115
60014512021,301056,0.682737169517885
60014512022,300582,1
60014512023,300247,1
60014513001,300967,1
60014513002,300400,1
60014513003,300474,1
60014514011,300381,1
60014514012,300626,1
60014514013,301014,0.880239520958084
60014514013,301107,0.119760479041916
60014514031,300786,1
60014514032,300787,1
60014514041,300788,1
60014514042,300464,1
60014514043,300036,1
60014515011,300627,1
60014515012,300403,1
60014515031,301041,1
60014515032,300490,1
60014515033,300491,1
60014515034,300806,1
60014515041,300688,1
60014515051,300037,1
60014515052,300689,1
60014515061,300690,1
60014515062,300038,1
60014516011,300401,1
60014516012,300246,1
60014516021,300402,1
60014516022,300452,1
60014516023,300489,1
60014516024,301024,1
60014517011,300082,1
60014517012,300084,1
60014517013,300083,1
60014517031,300039,1
60014517032,300040,1
60014517041,300085,0.82680412371134
60014517041,301106,0.17319587628866
60014517042,300086,1
60014517043,300087,1
60019819001,0,0
60019819001,300465,1
60019820001,0,0
60019820001,300505,1
60019832001,0,0
60019832001,300506,1
60019900000,0,0
60133010001,400507,1
60133010002,400507,1
60133010003,0,0
60133010003,400507,1
60133020051,400101,1
60133020052,400103,1
60133020053,400108,1
60133020054,400082,1
60133020061,0,0
60133020061,400198,1
60133020062,0,0
60133020062,400102,1
60133020071,400539,1
60133020072,400011,1
60133020081,0,0
60133020081,400196,1
60133020082,400093,1
60133020091,400110,1
60133020092,400111,1
60133020101,400106,1
60133020102,400107,1
60133020103,400258,1
60133020104,400138,1
60133031021,400109,1
60133031022,400114,1
60133031031,0,0
60133031031,400092,0.910987482614743
60133031031,400640,0.0890125173852573
60133031032,400113,1
60133031033,400509,1
60133031034,400510,1
60133032011,400112,1
60133032012,400143,1
60133032013,400241,1
60133032021,400255,1
60133032022,400167,1
60133032023,400256,1
60133032024,400168,1
60133032031,400204,1
60133032041,400537,1
60133032042,400115,1
60133032043,400203,1
60133032051,400195,1
60133032052,400105,1
60133040011,0,0
60133040011,400104,1
60133040021,0,0
60133040021,400086,0.10022271714922
60133040021,400641,0.89977728285078
60133040031,400209,1
60133040032,400538,1
60133040033,0,0
60133040033,400182,1
60133040041,0,0
60133040041,400207,1
60133040042,0,0
60133040042,400116,1
60133040051,400208,1
60133040052,0,0
60133040052,400197,0.187908496732026
60133040052,400518,0.812091503267974
60133050001,400267,1
60133050002,400268,1
60133050003,0,0
60133050003,400266,1
60133050004,400511,1
60133050005,400183,1
60133060021,400299,1
60133060022,0,0
60133060022,400584,1
60133060031,400270,1
60133060032,400269,1
60133060033,400272,1
60133060041,0,0
60133060041,400271,1
60133060042,400583,1
60133071011,400300,1
60133071012,400302,1
60133071013,400301,1
60133071021,400303,1
60133071022,400327,1
60133071023,400304,1
60133071024,400328,1
60133072011,400330,1
60133072012,400329,1
60133072021,400248,1
60133072022,400170,1
60133072023,400213,1
60133072041,400184,1
60133072042,400331,1
60133072043,400332,1
60133072051,400357,1
60133072052,400333,1
60133072053,400603,1
60133072054,400358,1
60133080011,400181,1
60133080012,400385,1
60133080013,400360,1
60133080014,400359,1
60133080021,400199,1
60133080022,400200,1
60133090001,0,0
60133090001,400186,1
60133090002,0,0
60133090002,400604,1
60133100001,400387,1
60133100002,400386,1
60133100003,400605,1
60133110001,400390,1
60133110002,400388,1
60133110003,400389,1
60133120001,400391,1
60133131011,400416,1
60133131012,400414,1
60133131013,400415,1
60133131014,400125,1
60133131021,400418,1
60133131022,400417,1
60133131031,400419,1
60133131032,400419,1
